food_item,fat_g,satfat_g,carbs_g,protein_g,fiber_g,energy_kcal_calculated
"Pie, Dutch Apple, Commercially Prepared",0.115,0.02419456066945607,0.4454,0.024569746376811596,0.020253164556962026,0.3224480728646007
"Pie crust, deep dish, frozen, unbaked, made with enriched flour",0.2874,0.08503138075313808,0.4679,0.0625,0.01772151898734177,0.519715650338776
"Waffles, chocolate chip, frozen, ready-to-heat",0.10099999999999999,0.037311715481171556,0.4568,0.06567028985507248,0.0189873417721519,0.32966788848161727
"Tostada shells, corn",0.2338,0.07333682008368202,0.6443000000000001,0.06963315217391305,0.07341772151898734,0.5472620237698544
"Bread, salvadoran sweet cheese (quesadilla salvadorena)",0.17120000000000002,0.04824267782426779,0.47840000000000005,0.08061594202898552,0.008860759493670885,0.4153060091080751
"Bread, pound cake type, pan de torta salvadoran",0.1745,0.03182008368200837,0.5129,0.07993659420289856,0.021518987341772152,0.43363323336665555
"Pastry, Pastelitos de Guava (guava pastries)",0.185,0.057897489539748964,0.47759999999999997,0.062047101449275374,0.027848101265822787,0.4215261579473509
"Crackers, snack, Goya Crackers",0.1335,0.06614016736401675,0.6435,0.1613451086956522,0.04810126582278481,0.4827279795623681
"Crackers, cream, Gamesa Sabrosas",0.20370000000000002,0.05608786610878662,0.6455,0.07937047101449277,0.030379746835443037,0.5216039098078419
"Crackers, cream, La Moderna Rikis Cream Crackers",0.195,0.027552301255230126,0.6487999999999999,0.08140851449275364,0.030379746835443037,0.5151616127957348
"Bread, white wheat",0.0215,0.0065899581589958164,0.4391,0.12069746376811596,0.11645569620253164,0.2639120293235588
"Bagels, wheat",0.015300000000000001,0.0,0.4889,0.11548913043478262,0.05189873417721518,0.2777962901255137
"Cream puff, eclair, custard or cream filled, iced",0.1852,0.07379707112970713,0.3743,0.04993206521739131,0.01139240506329114,0.370987448628235
"Tortillas, ready-to-bake or -fry, flour, shelf stable",0.0758,0.012813807531380755,0.4927,0.0906929347826087,0.030379746835443037,0.33022325891369547
"Snacks, beef jerky, chopped and formed",0.256,0.1134937238493724,0.11,0.3759057971014494,0.02278481012658228,0.45229367988448294
"Snacks, corn-based, extruded, chips, plain",0.3336,0.045303347280334735,0.5727000000000001,0.06985960144927537,0.05063291139240506,0.6153504387426414
"Snacks, corn-based, extruded, chips, barbecue-flavor",0.327,0.04665271966527197,0.562,0.07925724637681161,0.06582278481012659,0.6076863267799623
"Snacks, corn-based, extruded, cones, plain",0.269,0.23797071129707115,0.629,0.06567028985507248,0.013924050632911394,0.5741419526824392
"Snacks, fruit leather, pieces",0.0268,0.006799163179916319,0.8281999999999999,0.011322463768115944,0.0,0.3992002665778074
"Snacks, fruit leather, rolls",0.03,0.007029288702928871,0.858,0.0011322463768115945,0.0,0.41164056425635903
"Snacks, granola bars, hard, plain",0.198,0.024790794979079503,0.644,0.11435688405797102,0.0670886075949367,0.528934799511274
"Snacks, granola bars, hard, almond",0.255,0.13085774058577407,0.62,0.08718297101449277,0.060759493670886074,0.5645895812506943
"Snacks, granola bars, soft, uncoated, raisin",0.17800000000000002,0.10010460251046027,0.664,0.08605072463768117,0.053164556962025315,0.5067199822281462
"Snacks, granola bars, soft, coated, milk chocolate coating, chocolate chip",0.249,0.14874476987447702,0.638,0.06567028985507248,0.043037974683544304,0.5581472842385872
"Candies, honey-combed, with peanut butter",0.2018,0.059989539748953984,0.6741,0.09873188405797104,0.024050632911392405,0.5399311340664223
"Snacks, granola bars, soft, coated, milk chocolate coating, peanut butter",0.311,0.17792887029288706,0.534,0.11548913043478262,0.03544303797468354,0.5934688437187604
"Snacks, granola bars, soft, uncoated, peanut butter and chocolate chip",0.2,0.05847280334728034,0.622,0.11096014492753625,0.053164556962025315,0.5198267244251916
"Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat",0.4355,0.07133891213389122,0.45060000000000006,0.08254076086956523,0.10253164556962024,0.6679995557036543
"Snacks, popcorn, cakes",0.031000000000000003,0.005020920502092051,0.8009999999999999,0.10982789855072464,0.03670886075949367,0.4299677885149395
"Snacks, popcorn, caramel-coated, with peanuts",0.078,0.01087866108786611,0.807,0.07246376811594205,0.04810126582278481,0.46495612573586587
"Snacks, popcorn, caramel-coated, without peanuts",0.128,0.03776150627615063,0.7909999999999999,0.04302536231884058,0.06582278481012659,0.4962790181050761
"Snacks, potato chips, made from dried potatoes, reduced fat",0.2614,0.0707008368200837,0.6476000000000001,0.051630434782608696,0.04050632911392405,0.5692546928801511
"Snacks, potato chips, made from dried potatoes, sour-cream and onion-flavor",0.37,0.09905857740585776,0.513,0.07472826086956523,0.015189873417721518,0.6271242919026991
"Snacks, pretzels, hard, plain, salted",0.029300000000000003,0.004089958158995817,0.8039000000000001,0.11367753623188406,0.043037974683544304,0.43107852937909585
"Snacks, pretzels, hard, confectioner's coating, chocolate-flavor",0.167,0.08033472803347282,0.7090000000000001,0.08491847826086958,0.030379746835443037,0.5152726868821503
"Snacks, rice cakes, brown rice, sesame seed",0.038,0.005648535564853558,0.8150000000000001,0.08605072463768117,0.06835443037974684,0.4338553815394869
"Snacks, tortilla chips, plain, white corn, salted",0.2068,0.029403765690376574,0.6778000000000001,0.0803894927536232,0.06835443037974684,0.5393757636343441
"Snacks, tortilla chips, nacho cheese",0.2742,0.04054393305439331,0.6081000000000001,0.08333333333333336,0.06455696202531645,0.5770298789292458
"Snacks, tortilla chips, ranch-flavor",0.2463,0.037018828451882854,0.6274000000000001,0.08140851449275364,0.05063291139240506,0.5569254692880151
"Candies, ALMOND JOY Candy Bar",0.2693,0.1839958158995816,0.5951,0.04676177536231885,0.06329113924050633,0.5519271353993113
"Candies, TWIZZLERS CHERRY BITES",0.017,0.0026150627615062765,0.7938,0.03362771739130436,0.0012658227848101266,0.3828723758747084
"Candies, NESTLE, BIT-O'-HONEY Candy Chews",0.075,0.05753138075313808,0.8089000000000001,0.022644927536231887,0.002531645569620253,0.4432966788848162
"Candies, NESTLE, BUTTERFINGER Bar",0.189,0.0993723849372385,0.7290000000000001,0.0611413043478261,0.02531645569620253,0.5368210596467844
"Candies, caramels, chocolate-flavor roll",0.033100000000000004,0.010115062761506277,0.8773000000000001,0.01800271739130435,0.0012658227848101266,0.4299677885149395
"Baking chocolate, unsweetened, liquid",0.47700000000000004,0.2645397489539749,0.36200000000000004,0.1370018115942029,0.22911392405063294,0.6914361879373542
"Baking chocolate, unsweetened, squares",0.5231,0.33762552301255233,0.2842,0.16213768115942032,0.21012658227848102,0.7128734866155725
"Candies, confectioner's coating, yogurt",0.27,0.25213389121338914,0.6394,0.06646286231884059,0.0,0.5800288792624682
"Candies, confectioner's coating, peanut butter",0.298,0.1372384937238494,0.46880000000000005,0.20720108695652178,0.06329113924050633,0.5874708430523159
"Candies, white chocolate",0.3209,0.20305439330543934,0.5924,0.06646286231884059,0.002531645569620253,0.6101299566811063
