food_item,fat_g,satfat_g,carbs_g,protein_g,fiber_g,energy_kcal_calculated,cluster,subcluster,supercluster,plate_role
"Restaurant, Mexican, spanish rice",5.29,1.005,31.16,3.28,1.2,185.4,0,1,0-1,protein
"Restaurant, Mexican, refried beans",6.77,1.84,16.79,6.91,8.0,155.7,0,1,0-1,protein
"Restaurant, Chinese, egg rolls, assorted",11.94,2.116,27.29,8.28,2.6,249.7,0,1,0-1,protein
"Restaurant, Chinese, fried rice, without meat",2.96,0.54,32.79,4.05,1.1,174.0,0,1,0-1,protein
"CRACKER BARREL, steak fries",13.18,2.369,30.87,3.26,3.5,255.1,0,1,0-1,protein
"CRACKER BARREL, macaroni n' cheese plate, from kid's menu",11.51,4.197,15.58,6.46,0.7,191.8,0,1,0-1,protein
"DENNY'S, french fries",14.13,2.534,35.2,3.41,3.5,281.6,0,1,0-1,protein
"Restaurant, Chinese, lemon chicken",13.55,2.033,20.61,11.87,1.0,251.9,0,1,0-1,protein
"Restaurant, Chinese, kung pao chicken",6.98,1.352,6.87,9.76,1.5,129.3,0,1,0-1,protein
"Restaurant, Chinese, vegetable lo mein, without meat",2.35,0.464,20.16,4.77,1.3,120.9,0,1,0-1,protein
"Restaurant, Chinese, chicken and vegetables",4.56,0.77,5.38,8.18,0.9,95.3,0,0,0-0,fruit / veg
"Restaurant, Italian, spaghetti with meat sauce",3.59,1.062,16.4,5.79,1.6,121.1,0,1,0-1,protein
"Pectin, liquid",0.0,0.0,2.1,0.0,2.1,8.4,0,0,0-0,fruit / veg
"Frozen novelties, ice cream type, vanilla ice cream, light, no sugar added, chocolate coated",10.1,5.528,26.11,6.4,0.8,220.9,0,1,0-1,protein
"Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie",14.0,2.115,7.0,1.5,0.0,160.0,0,1,0-1,protein
"Milk dessert, frozen, milk-fat free, chocolate",1.0,0.597,37.7,4.3,0.0,177.0,0,1,0-1,protein
"Whipped topping, frozen, low fat",13.1,11.273,23.6,3.0,0.0,224.3,0,1,0-1,protein
"Babyfood, apple yogurt dessert, strained",1.6,1.034,19.5,0.8,0.5,95.6,0,0,0-0,fruit / veg
"Salad dressing, blue or roquefort cheese dressing, light",2.7,0.628,13.2,2.1,0.0,85.5,0,0,0-0,fruit / veg
"Salad dressing, french dressing, reduced calorie",13.0,1.872,27.0,0.4,0.0,226.6,0,1,0-1,protein
"Milk, buttermilk, fluid, cultured, reduced fat",2.0,1.242,5.3,4.1,0.0,55.6,0,0,0-0,fruit / veg
"Salad dressing, blue or roquefort cheese dressing, fat-free",1.01,0.45,25.6,1.52,1.8,117.6,0,1,0-1,protein
"Salad Dressing, mayonnaise-like, fat-free",2.7,0.6,15.5,0.2,1.9,87.1,0,0,0-0,fruit / veg
"Cheese, cottage, lowfat, 1% milkfat, lactose reduced",1.0,0.64,3.2,12.4,0.6,71.4,0,0,0-0,fruit / veg
"Jams, preserves, marmalade, reduced sugar",0.1,0.005,37.6,0.0,1.5,151.3,0,1,0-1,protein
"Tomato and vegetable juice, low sodium",0.1,0.014,4.59,0.6,0.8,21.7,0,0,0-0,fruit / veg
"Beverages, Chocolate-flavored drink, whey and milk based",0.4,0.31,10.68,0.64,0.6,48.9,0,0,0-0,fruit / veg
"Cheese, cottage, lowfat, 1% milkfat, with vegetables",1.0,0.619,3.0,10.9,0.0,64.6,0,0,0-0,fruit / veg
"Babyfood, juice, pear",0.0,0.0,11.86,0.0,0.1,47.4,0,0,0-0,fruit / veg
"Babyfood, meat, beef with vegetables, toddler",2.1,0.847,8.72,3.5,1.8,67.8,0,0,0-0,fruit / veg
"Frozen novelties, juice type, juice with cream",1.41,0.705,24.11,1.41,0.1,114.8,0,0,0-0,fruit / veg
Tofu yogurt,1.8,0.259,15.96,3.5,0.2,94.0,0,0,0-0,fruit / veg
"Alcoholic beverage, rice (sake)",0.0,0.0,5.0,0.5,0.0,22.0,0,0,0-0,fruit / veg
"Babyfood, mixed fruit yogurt, strained",0.8,0.517,16.23,0.8,0.4,75.3,0,0,0-0,fruit / veg
"Beverages, ABBOTT, ENSURE PLUS, ready-to-drink",4.52,0.574,19.88,5.16,0.0,140.8,0,1,0-1,protein
"Babyfood, juice, apple - cherry",0.1,0.02,11.2,0.2,0.3,46.5,0,0,0-0,fruit / veg
"Milk, imitation, non-soy",2.0,0.254,5.3,1.6,0.0,45.6,0,0,0-0,fruit / veg
"Babyfood, banana no tapioca, strained",0.2,0.072,21.34,1.0,1.6,91.2,0,0,0-0,fruit / veg
"Babyfood, banana apple dessert, strained",0.2,0.058,16.3,0.3,1.0,68.2,0,0,0-0,fruit / veg
"Pie fillings, blueberry, canned",0.2,0.0,44.38,0.41,2.6,181.0,0,1,0-1,protein
"Lemons, raw, without peel",0.3,0.039,9.32,1.1,2.8,44.4,0,0,0-0,fruit / veg
"Lemon juice, raw",0.24,0.04,6.9,0.35,0.3,31.2,0,0,0-0,fruit / veg
"Lemon juice from concentrate, canned or bottled",0.07,0.027,5.62,0.45,0.7,24.9,0,0,0-0,fruit / veg
"Lemon peel, raw",0.3,0.039,16.0,1.5,10.6,72.7,0,0,0-0,fruit / veg
"Prickly pears, raw",0.51,0.067,9.57,0.73,3.6,45.8,0,0,0-0,fruit / veg
"Plums, dried (prunes), stewed, without added sugar",0.16,0.01,28.08,0.96,3.1,117.6,0,1,0-1,protein
"Plums, dried (prunes), stewed, with added sugar",0.22,0.017,32.88,1.09,3.8,137.9,0,1,0-1,protein
"Prune juice, canned",0.03,0.003,17.45,0.61,1.0,72.5,0,0,0-0,fruit / veg
