food_item,fat_g,satfat_g,carbs_g,protein_g,fiber_g,energy_kcal_calculated,cluster,subcluster,supercluster
"Seaweed, Canadian Cultivated EMI-TSUNOMATA, rehydrated",0.17,0.05,5.62,1.86,4.5,31.4,0,0,0-0
"Potatoes, hash brown, refrigerated, unprepared",0.08,0.0,19.16,1.75,1.8,84.4,0,0,0-0
"Potatoes, hash brown, refrigerated, prepared, pan-fried in canola oil",10.3,0.805,33.99,3.24,3.6,241.6,0,1,0-1
"Sweet Potatoes, french fried, frozen as packaged, salt added in processing",8.92,1.157,35.58,2.16,5.7,231.2,0,1,0-1
"Squash, Indian, cooked, boiled (Navajo)",0.15,0.0,3.22,0.31,1.5,15.5,0,0,0-0
Tamales (Navajo),6.12,2.396,18.12,6.28,3.1,152.7,0,1,0-1
"Restaurant, Mexican, soft taco with ground beef, cheese and lettuce",10.81,4.486,17.92,12.56,1.5,219.2,0,1,0-1
"Restaurant, Latino, chicken and rice, entree, prepared",5.06,1.101,20.03,12.02,1.2,173.7,0,1,0-1
"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",9.01,2.188,31.49,5.59,5.8,229.4,0,1,0-1
"Restaurant, Latino, pupusas con queso (pupusas, cheese)",13.25,6.479,22.39,11.72,2.9,255.7,0,1,0-1
"Restaurant, Latino, pupusas del cerdo (pupusas, pork)",10.43,3.166,23.02,11.51,2.6,232.0,0,1,0-1
"Restaurant, Latino, tamale, corn",7.21,2.629,26.68,3.48,3.2,185.5,0,1,0-1
"Restaurant, Mexican, spanish rice",5.29,1.005,31.16,3.28,1.2,185.4,0,1,0-1
"Restaurant, Mexican, refried beans",6.77,1.84,16.79,6.91,8.0,155.7,0,1,0-1
"Restaurant, Chinese, egg rolls, assorted",11.94,2.116,27.29,8.28,2.6,249.7,0,1,0-1
"Restaurant, Chinese, fried rice, without meat",2.96,0.54,32.79,4.05,1.1,174.0,0,1,0-1
"CRACKER BARREL, steak fries",13.18,2.369,30.87,3.26,3.5,255.1,0,1,0-1
"CRACKER BARREL, macaroni n' cheese plate, from kid's menu",11.51,4.197,15.58,6.46,0.7,191.8,0,1,0-1
"DENNY'S, french fries",14.13,2.534,35.2,3.41,3.5,281.6,0,1,0-1
"Restaurant, Chinese, lemon chicken",13.55,2.033,20.61,11.87,1.0,251.9,0,1,0-1
"Restaurant, Chinese, kung pao chicken",6.98,1.352,6.87,9.76,1.5,129.3,0,1,0-1
"Restaurant, Chinese, vegetable lo mein, without meat",2.35,0.464,20.16,4.77,1.3,120.9,0,1,0-1
"Restaurant, Chinese, chicken and vegetables",4.56,0.77,5.38,8.18,0.9,95.3,0,0,0-0
"Restaurant, Italian, spaghetti with meat sauce",3.59,1.062,16.4,5.79,1.6,121.1,0,1,0-1
"Pectin, liquid",0.0,0.0,2.1,0.0,2.1,8.4,0,0,0-0
"Frozen novelties, ice cream type, vanilla ice cream, light, no sugar added, chocolate coated",10.1,5.528,26.11,6.4,0.8,220.9,0,1,0-1
"Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie",14.0,2.115,7.0,1.5,0.0,160.0,0,1,0-1
"Milk dessert, frozen, milk-fat free, chocolate",1.0,0.597,37.7,4.3,0.0,177.0,0,1,0-1
"Whipped topping, frozen, low fat",13.1,11.273,23.6,3.0,0.0,224.3,0,1,0-1
"Babyfood, apple yogurt dessert, strained",1.6,1.034,19.5,0.8,0.5,95.6,0,0,0-0
"Salad dressing, blue or roquefort cheese dressing, light",2.7,0.628,13.2,2.1,0.0,85.5,0,0,0-0
"Salad dressing, french dressing, reduced calorie",13.0,1.872,27.0,0.4,0.0,226.6,0,1,0-1
"Milk, buttermilk, fluid, cultured, reduced fat",2.0,1.242,5.3,4.1,0.0,55.6,0,0,0-0
"Salad dressing, blue or roquefort cheese dressing, fat-free",1.01,0.45,25.6,1.52,1.8,117.6,0,1,0-1
"Salad Dressing, mayonnaise-like, fat-free",2.7,0.6,15.5,0.2,1.9,87.1,0,0,0-0
"Cheese, cottage, lowfat, 1% milkfat, lactose reduced",1.0,0.64,3.2,12.4,0.6,71.4,0,0,0-0
"Jams, preserves, marmalade, reduced sugar",0.1,0.005,37.6,0.0,1.5,151.3,0,1,0-1
"Tomato and vegetable juice, low sodium",0.1,0.014,4.59,0.6,0.8,21.7,0,0,0-0
"Beverages, Chocolate-flavored drink, whey and milk based",0.4,0.31,10.68,0.64,0.6,48.9,0,0,0-0
"Cheese, cottage, lowfat, 1% milkfat, with vegetables",1.0,0.619,3.0,10.9,0.0,64.6,0,0,0-0
"Babyfood, juice, pear",0.0,0.0,11.86,0.0,0.1,47.4,0,0,0-0
"Babyfood, meat, beef with vegetables, toddler",2.1,0.847,8.72,3.5,1.8,67.8,0,0,0-0
"Frozen novelties, juice type, juice with cream",1.41,0.705,24.11,1.41,0.1,114.8,0,0,0-0
Tofu yogurt,1.8,0.259,15.96,3.5,0.2,94.0,0,0,0-0
"Alcoholic beverage, rice (sake)",0.0,0.0,5.0,0.5,0.0,22.0,0,0,0-0
"Babyfood, mixed fruit yogurt, strained",0.8,0.517,16.23,0.8,0.4,75.3,0,0,0-0
"Beverages, ABBOTT, ENSURE PLUS, ready-to-drink",4.52,0.574,19.88,5.16,0.0,140.8,0,1,0-1
"Babyfood, juice, apple - cherry",0.1,0.02,11.2,0.2,0.3,46.5,0,0,0-0
